playerNumber, power, maxBallVelMod, firstBallVel
0,1000.000000,2673.704903,483.877724
0,1200.000000,2933.387989,160.346763
0,1400.000000,3169.853496,173.592004
0,1600.000000,3404.056471,185.323891
0,1800.000000,3611.063239,213.332085
0,2000.000000,3815.007176,215.310412
0,2200.000000,3996.947345,231.137148
0,2400.000000,4187.179668,241.852645
0,2600.000000,4357.428794,262.951405
0,2800.000000,4520.418442,271.326303
0,3000.000000,4672.231050,286.119747
0,3200.000000,4836.193970,303.252829
0,3400.000000,4989.639580,311.767797
0,3600.000000,5131.823456,946.883677
0,3800.000000,5284.528441,331.221083
0,4000.000000,5411.833138,337.592010
0,4200.000000,5567.919202,342.169142
0,4400.000000,5693.267710,357.572930
0,4600.000000,5819.168607,371.750900
0,4800.000000,5943.471333,393.152169
0,5000.000000,6068.684752,1145.717852
1,1000.000000,2664.727138,135.554560
1,1200.000000,2928.563159,152.265601
1,1400.000000,3177.075096,170.292547
1,1600.000000,3403.824668,186.420595
1,1800.000000,3601.507467,197.786626
1,2000.000000,3020.805986,547.199410
1,2200.000000,3986.826932,235.319230
1,2400.000000,4178.256261,248.499158
1,2600.000000,4349.978538,268.040964
1,2800.000000,4517.629537,281.130410
1,3000.000000,4689.850226,282.688832
1,3200.000000,4846.631437,290.018182
1,3400.000000,4981.903218,925.641677
1,3600.000000,5152.406040,305.789444
1,3800.000000,5270.266194,331.051505
1,4000.000000,5423.545489,346.347044
1,4200.000000,5561.746307,354.830767
1,4400.000000,5683.372964,353.917864
1,4600.000000,5816.667581,378.012836
1,4800.000000,5949.456241,388.395931
1,5000.000000,6060.184844,395.063612
2,1000.000000,2655.320297,132.169125
2,1200.000000,2935.443036,148.508271
2,1400.000000,3159.815376,172.238888
2,1600.000000,3401.394795,197.996285
2,1800.000000,3614.219081,205.290540
2,2000.000000,3804.680512,226.737461
2,2200.000000,3996.197505,233.974393
2,2400.000000,4186.894549,243.137255
2,2600.000000,4343.645331,250.682896
2,2800.000000,4517.523418,278.300275
2,3000.000000,4681.700120,287.141373
2,3200.000000,4835.986835,306.165448
2,3400.000000,4979.275321,312.306620
2,3600.000000,5136.234389,333.892234
2,3800.000000,5287.685746,329.036432
2,4000.000000,5410.893225,340.244123
2,4200.000000,5546.458077,355.010400
2,4400.000000,5685.801491,355.634587
2,4600.000000,5825.275825,369.887229
2,4800.000000,5950.128272,380.549400
2,5000.000000,6080.234266,387.181402
